Label,Title,Summary,Date,Author
1,trevor noah wonders if cardi b could end the government shutdown,"after the rapper posted a video of herself criticizing president trump, noah said: “how cool would it be if cardi b somehow ended the shutdown?”",2019-01-18,giovanni russonello
1,planned trump order will discourage hiring of low-wage foreign workers,the president is expected to sign an executive order on tuesday to make it harder for technology companies to recruit foreign workers with h-1b visas.,2017-04-18,michael
1,contentious trump rally in st. louis,"multiple protesters were ejected from the event, while donald j.trump supporters and protesters clashed outside. later, a trump rally in chicago was called off because of safety concerns.",2016-03-12,no author found
1,america’s competitors angle for silicon valley’s business,"as the trump administration tightens immigration, governments around the world are stepping up their efforts to lure talent and capital away from the united states.",2017-08-02,kirk semple
1,trump reacts to security scare at rally,"donald j.trump was surrounded by security personnel during an interruption by a person in the crowd at his rally in vandalia, ohio, on saturday.",2016-03-12,no author found
1,trump takes his message to arizona,"donald trump, the real estate mogul and republican presidential candidate, spoke at an event in phoenix hosted by the republican party of maricopa county.",2015-07-12,no author found
1,trump to clinton: ‘you’d be in jail’,"donald j.trump told hillary clinton during their second presidential debate that if he were elected he would seek a special prosecutor’s investigation of her and that if he were in charge, “you'd be in jail.”",2016-10-10,no author found
1,trump signs order that could lead to curbs on foreign workers,"the president said the executive order was a way to end the “theft of american prosperity,” which he said had been brought on by low-wage immigrant labor.",2017-04-18,glenn thrush
1,only trump can trump trump,"donald trump’s opponents foolishly think they can break his bond with voters by giving them facts, but his supporters are following their gut.",2016-03-09,thomas friedman
1,u.s. wants to allow more foreign workers while also restricting immigration,the move to expand the h-2b visa program appeared to clash with the trump administration’s repeated message about a crisis on the southern border.,2019-04-08,mihir zaveri
1,let trump destroy trump,"the democratic nominee, whoever it turns out to be, should use the president’s contortions and carrying-on against him.",2019-09-11,david axelrod
1,letting trump be trump,how the advocates of trumpism are wrestling with its absence from the trump presidency.,2017-05-25,ross douthat
1,"reality politics, starring donald trump",it’s here and it can’t be canceled for four years.,2017-01-05,gail collins
1,the trump administration clears trump’s washington hotel,"an agency engages in legal gymnastics, producing a bizarre and ultimately dishonest rationale.",2017-03-25,no author found
1,"trump, trump, trump: a losing strategy",hearing about the president leads some progressives to think that politics are pointless.,2018-04-13,david leonhardt
1,trump’s speech vs. trump’s tweets,"president trump sprinkled his state of the union speech with optimistic flourishes about “unity” and “the american family.” but his tweets often tell a darker, more divided story.",2018-01-31,drew jordan
1,why trump voters supported trump,"“the great revolt,” by salena zito and brad todd, allows trump backers to speak in their own voices.",2018-06-15,kate zernike
1,"trump, unrestrained",america’s vulnerability is exploited by its president.,2019-09-23,charles
1,trump supporters: what do you think of the president’s policies?,the new york times would like to hear from president trump’s supporters: what do you think about his policies so far?,2017-02-06,no author found
1,did you stop supporting trump? we would like to hear from you,"we would like to hear from people who previously supported president trump, but no longer do.",2017-08-31,no author found
1,"romney denounces trump, and trump responds","mitt romney pleaded with republicans to support a presidential candidate other than donald trump, and mr. trump swiftly responded.",2016-03-03,no author found
1,"trump, or anyone but trump","virginia voters sum it up best: ""it’s a strange one this year.”",2016-03-02,emma roller
1,to trump or not to trump?,"as donald trump becomes bigger, we become smaller. how should we size him up?",2015-07-22,frank bruni
1,the trump matrix,how can we tell where the new administration is heading?,2016-12-28,ross douthat
